post_id	tweet_text	cord_uid	bm25_topk	in_topx
0	Oral care in rehabilitation medicine: oral vulnerability, oral muscle wasting, and hospital-associated oral issues	htlvpvz5	['htlvpvz5', 'h7hj64q5', 'rwgqkow3', 'dbgtslc8', 'am11yqbf']	1.0
1	this study isn't receiving sufficient attention. it reveals black/latino/indigenous individuals aren't just succumbing to covid at higher rates than whites but are also passing away *earlier*.   90% of white fatalities occur in those 65+, 90% of black fatalities occur in those 55+,  89% of indigenous fatalities occur in those 45+	4kfl29ul	['2cwvga0k', '33znyrn8', 'st3fyb64', '74dw6emg', 'b68c8qwm']	0.0
2	thanks, xi jinping. a reminder that this study concludes that if non-pharmaceutical interventions had been implemented three weeks earlier by china (ie not covered up) spread could have been reduced by 95%	jtwb17u8	['8hkxbxz9', 'w98847ai', 'jtwb17u8', 'iy1enazk', 'pg0l92zb']	0.3333333333333333
3	Taiwan - a population of 23 million has had just 600 cases &amp; 7 deaths. widespread mask use &amp; strict quarantine measures stand out. eradication is possible but requires determination &amp; a commitment to caring for everyone not just the chosen few arbitrarily considered essential to society	0w9k8iy1	['32ua8wb6', 'zxe95qy9', '30pl5tx3', 'l4y7v729', 'b97acsgn']	0.0
4	Obtaining a diagnosis of autism in lower income countries can take a lengthy period. Our new study modified a screening tool, the Q-Chat, for use in regular health check-ups in Chile. We discovered proof this enhances autism diagnosis in a low-income nation.	tiqksd69	['tiqksd69', 'k7smwz6w', 'b0dzhsrh', 'yc7cvbii', 'iiafud87']	1.0
5	we demonstrated that merscov can preferentially select for distinct variants in cells from an alternate host (i.e. bats):	ut1k8xe7	['qowp861l', 'jo489zm2', 'ufzjvdho', 'ut1k8xe7', '71x3b75z']	0.25
6	A covid'strain' emerged in spain in the summer and by mid-september, the strain was at 80% dominance in wales and scotland. this strain's'spread' was not attributed to 'infectiousness' but due to travel, lack of effective screening, and containment.	xavegbty	['xavegbty', 'jp80u828', 'pn516wom', '92tvskxw', '9miesbf1']	1.0
7	"breaking: recent study reveals people without symptoms do not spread the virus!  ""there was no evidence of transmission from asymptomatic positive persons to traced close contacts."" time to lift restrictions?"	yj3yisum	['eu2vjpw9', '65efipbi', 'i9jrobdb', 'xd5uhah4', 'iff8cuum']	0.0
8	Mutations don't appear to impact transmission greatly. For instance, the most researched mutation linked to increased transmission, d614g, emerged separately in various genetic lineages but only one of those increased in prevalence. 4/	3jgm3uhs	['entkqcn3', '4hmecfi0', '3jgm3uhs', 'nom4z0tv', 'g9pwxfd2']	0.3333333333333333
9	Based on this study of ten million people discovering no asymptomatic spread, my governor and my peers have been strongly criticizing me over the past nine months. Why are you still enforcing mandates, ⁦⁩? That’s a human rights abuse.	yj3yisum	['a0q61mpi', '7momt81r', 'h2shhuee', 'zzscey1f', 'q7pieq3w']	0.0
10	right, it’s clear who is at risk of death once infected. the point is that risk of infection is often underestimated as a key factor for minimizing casualties, especially given how covid-19 spreads in practice.	vm1o1cel	['cr2cute3', 'yslf5er3', '34ulkvl4', 'mfop9fne', 'xgfk6txz']	0.0
11	Significant new findings. share #covid19 related functional gi disorders. I wonder if they exhibit immune activation and heightened duodenal eosinophils/mast cell activation? post-infection functional gastrointestinal disorders following corona virus disease-19. #gitwitter	1rxw5xro	['nvqv99ak', 'qiphsrjz', 'lnhkux0m', '5g8u35f8', '1rxw5xro']	0.2
12	This occurred. fully vaccinated patient transmitted sars-cov-2 to fully vaccinated hospital staff, family, and acquaintances. 5 people perished. 9 had severe conditions.	lbkjxws4	['hnx43l5c', '52jtd51o', 's7z1l3a9', '7pqy0ejn', 'b5eve7re']	0.0
13	A study forecasts a high post-COVID reinfection rate, averaging 16 months later. It highlights the necessity for vaccination after infection for personal protection (one mRNA shot may be sufficient), & that low-vaccination states may be misled by short-term immunity from COVID cases but face severe consequences later.	z4cq9klm	['z4cq9klm', '7f33cu6l', 'ws3tfs1j', 'gysvo8e9', 'z6elaxpc']	1.0
